"sp","V2","V3","V4","V5","V6","mean.auc","incidence"
"V514",0.535,1,NA,0.25,0.397435897435897,0.545608974358974,7
"V52",0.282051282051282,0.315,0.153846153846154,0.391666666666667,0,0.228512820512821,13
"V527",NA,NA,NA,NA,NA,NA,3
"V528",NA,NA,NA,NA,NA,NA,3
"V53",0.892857142857143,NA,NA,0.928571428571429,NA,0.910714285714286,4
"V531",NA,NA,NA,NA,NA,NA,3
"V536",0.964285714285714,1,NA,1,NA,0.988095238095238,4
"V54",0.583333333333333,0.509259259259259,0.75,NA,NA,0.614197530864197,5
"V546",0.461538461538462,0.75,0.555555555555556,0.796296296296296,0.946428571428571,0.701963776963777,6
"V566",1,1,1,1,0.925925925925926,0.985185185185185,6
"V571",0.811688311688312,0.591666666666667,0.642857142857143,0.549019607843137,0.654040404040404,0.649854426619133,31
"V573",0.388888888888889,0.464285714285714,0.678571428571429,0.55,0.833333333333333,0.583015873015873,9
"V58",NA,NA,NA,NA,NA,NA,3
"V59",0.536057692307692,0.444444444444444,0.430288461538462,0.605769230769231,0.465789473684211,0.496469860548808,66
"V590",0.857142857142857,1,0.928571428571429,NA,NA,0.928571428571429,5
"V591",0.892857142857143,NA,0.642857142857143,NA,0.696428571428571,0.744047619047619,5
"V599",0.648148148148148,0.509259259259259,NA,0.583333333333333,NA,0.580246913580247,7
"V60",0.694444444444444,0.634615384615385,0.777777777777778,0.596153846153846,0.845833333333333,0.709764957264957,11
"V617",NA,NA,NA,NA,NA,NA,3
"V618",NA,0.535714285714286,0.25,0.5,NA,0.428571428571429,4
"V620",NA,NA,0.518518518518518,0.0357142857142857,0.62037037037037,0.391534391534391,7
"V625",0.696428571428571,0.25,0.448717948717949,0.287037037037037,0.535714285714286,0.443579568579569,8
"V626",0.455128205128205,0.490740740740741,0.431159420289855,0.3,0.416666666666667,0.418739006565094,15
"V627",NA,0.285714285714286,0.333333333333333,0.25,0.5,0.342261904761905,6
"V630",0.685897435897436,0.555555555555556,0.464285714285714,0.5,0.657407407407407,0.572629222629223,8
"V637",0.678571428571429,0.732142857142857,NA,0.785714285714286,0.5,0.674107142857143,5
"V639",0.65,0.511111111111111,0.873188405797101,0.285714285714286,0.505,0.5650027605245,29
"V64",0.564814814814815,0.490740740740741,0.461538461538462,0.964285714285714,0.666666666666667,0.62960927960928,9
"V640",NA,0.589285714285714,NA,NA,NA,0.589285714285714,4
"V641",NA,NA,NA,NA,NA,NA,3
"V642",0.307692307692308,NA,0.358974358974359,0.321428571428571,NA,0.329365079365079,6
"V643",0.595833333333333,0.653846153846154,0.73,0.538461538461538,0.47,0.597628205128205,14
"V646",0.397435897435897,0.628205128205128,0.67,0.43,0.907407407407407,0.606609686609686,15
"V649",NA,NA,NA,NA,NA,NA,3
"V680",0.449404761904762,0.602777777777778,0.575,0.642105263157895,0.369565217391304,0.527770604046348,33
"V683",0.981481481481481,0.964285714285714,0.785714285714286,0.490740740740741,NA,0.805555555555555,5
"V687",0.0357142857142857,0.142857142857143,0.285714285714286,0.428571428571429,0.0714285714285714,0.192857142857143,5
"V69",0.6375,0.505,0.532051282051282,0.626811594202899,0.59,0.578272575250836,18
"V696",1,0.981481481481481,0.891025641025641,0.833333333333333,0.871794871794872,0.915527065527065,7
"V699",1,1,NA,0.592592592592593,NA,0.864197530864198,5
"V71",NA,NA,NA,NA,NA,NA,3
"V719",1,1,NA,1,NA,1,4
"V72",0.642857142857143,0.553571428571429,0.696428571428571,0.464285714285714,0.564814814814815,0.584391534391534,7
"V722",NA,NA,NA,NA,NA,NA,3
"V724",NA,NA,NA,NA,NA,NA,4
"V726",1,0.842592592592593,NA,0.607142857142857,NA,0.81657848324515,5
"V731",0.303571428571429,0.821428571428571,NA,0.910714285714286,NA,0.678571428571429,4
"V74",0.740740740740741,0.160714285714286,0.892857142857143,0.5,0.214285714285714,0.501719576719577,5
"V741",0.107142857142857,0.0714285714285714,1,NA,NA,0.392857142857143,4
"V764",0.32,0.685185185185185,NA,0.301282051282051,0.37037037037037,0.419209401709402,10
"V766",0.240740740740741,0.428571428571429,0.5,0.0740740740740741,0.589285714285714,0.366534391534392,7
"V77",0.303571428571429,0.196428571428571,NA,0.0714285714285714,NA,0.19047619047619,4
"V804",NA,0.0714285714285714,0.0714285714285714,0.660714285714286,NA,0.267857142857143,4
"V812",NA,NA,NA,NA,NA,NA,3
"V82",NA,NA,NA,NA,NA,NA,3
"V835",0.474358974358974,0.285714285714286,0.653846153846154,0.553571428571429,0.407407407407407,0.47497964997965,12
"V84",NA,NA,0,0.0714285714285714,NA,0.0357142857142857,4
"V85",0.678571428571429,NA,0.518518518518518,0.178571428571429,0.166666666666667,0.385582010582011,5
"V852",0.87962962962963,0.782051282051282,0.842592592592593,0.801282051282051,0.571428571428571,0.775396825396825,7
"V854",0.895,NA,0.892857142857143,0.964285714285714,0.82051282051282,0.893163919413919,8
"V856",0.339285714285714,0.160714285714286,0.392857142857143,0.392857142857143,0.357142857142857,0.328571428571429,6
"V857",0.982142857142857,0.767857142857143,0.928571428571429,NA,NA,0.892857142857143,4
"V860",0.342592592592593,NA,NA,0.678571428571429,0.703703703703704,0.574955908289242,5
"V863",0.91025641025641,0.851851851851852,0.73,0.82051282051282,0.846153846153846,0.831754985754986,8
"V87",NA,0.892857142857143,0.222222222222222,0.740740740740741,0.642857142857143,0.624669312169312,6
"V872",0.384615384615385,0.37037037037037,0.56,0.346153846153846,0.55,0.44222792022792,10
"V874",0.607142857142857,0.642857142857143,0.428571428571429,0.555555555555556,0.607142857142857,0.568253968253968,5
"V877",0.0357142857142857,0.785714285714286,0.357142857142857,0.0714285714285714,0.148148148148148,0.27962962962963,5
"V888",0.962962962962963,0.875,0.765,0.481481481481481,0.615384615384615,0.739965811965812,7
"V89",NA,NA,1,0.75,0.75,0.833333333333333,4
"V92",0.964285714285714,0.928571428571429,0.928571428571429,0.564814814814815,0.964285714285714,0.87010582010582,5
"V930",0.142857142857143,0.392857142857143,0.142857142857143,NA,NA,0.226190476190476,4
"V934",0.824074074074074,0.692307692307692,1,0.826923076923077,0.925925925925926,0.853846153846154,9
"V938",0.66,0.62037037037037,0.5,0.5,0.378205128205128,0.5317150997151,12
"V943",0.55,0.576923076923077,0.63,0.871794871794872,0.775641025641026,0.680871794871795,12
"V944",0.339285714285714,0.314814814814815,NA,0.392857142857143,0.601851851851852,0.412202380952381,5
"V947",NA,NA,NA,NA,NA,NA,3
"V951",NA,NA,NA,NA,NA,NA,3
"V953",0.628205128205128,0.481884057971014,0.541666666666667,0.26,0.45,0.472351170568562,16
"V955",0.37962962962963,1,0.321428571428571,0.357142857142857,0.25,0.461640211640212,7
"V960",0.3875,0.801282051282051,0.851851851851852,0.678571428571429,0.555,0.654841066341066,13
"V979",0.694444444444444,0.339285714285714,0.444444444444444,NA,NA,0.492724867724867,5
"V980",1,NA,0.964285714285714,NA,0.982142857142857,0.982142857142857,4
"V989",NA,NA,NA,NA,NA,NA,3
"V993",0.63,0.620833333333333,0.702898550724638,0.805,0.483333333333333,0.648413043478261,17
"V10",NA,NA,NA,NA,NA,NA,3
"V1034",NA,NA,NA,NA,NA,NA,4
"V1061",NA,NA,0.357142857142857,NA,NA,0.357142857142857,4
"V1067",NA,NA,NA,NA,NA,NA,3
"V1082",NA,NA,NA,NA,NA,NA,3
"V1087",NA,NA,NA,NA,NA,NA,3
"V133",NA,NA,NA,NA,NA,NA,3
"V201",NA,NA,NA,NA,NA,NA,3
"V225",NA,NA,NA,NA,NA,NA,3
"V228",NA,NA,NA,NA,NA,NA,3
"V240",NA,NA,NA,NA,NA,NA,3
"V251",NA,NA,NA,NA,NA,NA,3
"V323",NA,NA,NA,NA,NA,NA,3
"V34",NA,NA,NA,NA,NA,NA,3
"V386",NA,NA,NA,NA,NA,NA,3
"V408",NA,NA,NA,NA,NA,NA,3
"V489",NA,NA,NA,NA,NA,NA,3
"V521",NA,NA,NA,NA,NA,NA,3
"V565",NA,NA,NA,NA,NA,NA,3
"V636",0.75,1,0.928571428571429,NA,NA,0.892857142857143,4
"V644",NA,NA,NA,NA,NA,NA,3
"V668",NA,NA,NA,NA,NA,NA,3
"V709",NA,NA,NA,NA,NA,NA,3
"V715",NA,NA,NA,NA,NA,NA,4
"V733",NA,NA,0.642857142857143,NA,NA,0.642857142857143,4
"V752",0.962962962962963,0.814814814814815,0.925925925925926,NA,NA,0.901234567901235,5
"V762",0.464285714285714,0.12962962962963,0.0961538461538462,0.142857142857143,NA,0.208231583231583,8
"V776",NA,NA,NA,NA,NA,NA,3
"V805",NA,NA,NA,NA,NA,NA,3
"V818",NA,0.464285714285714,0.642857142857143,NA,NA,0.553571428571428,4
"V858",NA,NA,NA,NA,NA,NA,4
"V894",NA,NA,NA,NA,NA,NA,3
"V104",NA,NA,NA,NA,NA,NA,3
"V1086",NA,0.75,NA,NA,NA,0.75,4
"V1104",NA,NA,NA,NA,NA,NA,3
"V165",NA,NA,NA,NA,NA,NA,3
"V192",NA,NA,NA,NA,NA,NA,3
"V226",NA,NA,NA,NA,NA,NA,3
"V341",0.857142857142857,NA,0.714285714285714,NA,NA,0.785714285714285,4
"V342",NA,NA,0.821428571428571,NA,NA,0.821428571428571,4
"V351",NA,NA,NA,NA,NA,NA,3
"V446",NA,NA,NA,NA,NA,NA,3
"V46",NA,NA,NA,NA,NA,NA,3
"V695",NA,NA,NA,NA,NA,NA,3
"V771",NA,NA,NA,NA,NA,NA,3
"V791",NA,NA,NA,NA,NA,NA,3
"V802",NA,NA,NA,NA,NA,NA,3
"V885",NA,NA,NA,NA,NA,NA,3
"V936",NA,NA,NA,NA,NA,NA,3
"V988",NA,NA,NA,NA,NA,NA,3
"V158",NA,NA,NA,NA,NA,NA,3
"V355",NA,NA,NA,NA,NA,NA,3
"V404",NA,NA,NA,NA,NA,NA,3
"V451",NA,NA,NA,NA,NA,NA,3
"V568",NA,NA,NA,NA,NA,NA,3
"V716",0.285714285714286,NA,NA,NA,NA,0.285714285714286,4
"V754",NA,NA,NA,NA,NA,NA,3
"V869",NA,NA,NA,NA,NA,NA,3
"V964",NA,NA,NA,NA,NA,NA,3
"V1126",NA,NA,NA,NA,NA,NA,3
"V1226",NA,NA,NA,NA,NA,NA,3
"V725",NA,NA,NA,NA,NA,NA,3
"V880",NA,NA,NA,NA,NA,NA,3
"V90",0.428571428571429,NA,NA,NA,NA,0.428571428571429,4
