,lon,lat,Penetratable_Canopy_Cover,height_m,Plant_Area_Index,Height_Diversity,Foliage_Clumping,Gap_probability,canopy_cover_pct,Colour
175,-10.86475012,7.699553368,0.95898062,12.36,3.367049456,2.395321369,1,0.185107663,0.813301504,red
176,-10.86446054,7.699972373,0.947819173,12.81,1.930225015,2.325517416,1,0.380221903,0.618568182,red
177,-10.86415045,7.700393423,0.938057899,24.56,0.632000566,3.045119762,1,0.728608727,0.270861447,red
178,-10.86383951,7.700814567,0.925252318,18.54,3.060503721,2.808177233,1,0.215834126,0.782635033,red
179,-10.86353698,7.701234888,0.950566471,38.33,4.58902216,3.268885374,1,0.100359231,0.897884488,red
180,-10.86324186,7.701654486,0.974202812,27.96,4.055467129,3.225287676,1,0.131112456,0.867191315,red
181,-10.86294191,7.702074571,0.93882066,17.84,4.109327793,2.78516531,1,0.127621934,0.870675027,red
182,-10.86142147,7.704177125,0.980148435,31.11,2.265476227,3.248685837,1,0.321436971,0.677238345,red
183,-10.86111741,7.704597737,0.952426672,19.11,5.220430374,2.831090689,1,0.073144332,0.925046265,red
184,-10.8608161,7.705018079,0.965097308,33.99,2.494619131,3.242834806,1,0.286576629,0.71203059,red
185,-10.86051235,7.705438661,0.975118935,37.27,3.503964186,3.313471317,1,0.172836542,0.825548649,red
186,-10.86020933,7.705859169,0.951436341,19.37,4.225728035,2.876430035,1,0.12039265,0.877890229,red
187,-10.85990934,7.706279376,0.989578009,21.09,4.290290356,3.007362127,1,0.116560929,0.881714404,red
188,-10.85960462,7.706700046,0.984692931,38.97,4.249803543,3.157263756,1,0.118949279,0.879330754,red
189,-10.85930406,7.707120301,0.978439093,11.59,1.803769469,2.372412205,1,0.405088842,0.593749762,red
190,-10.85899832,7.707541062,0.950176597,17.42,2.408657312,2.678823233,1,0.29918766,0.699444234,red
191,-10.85597431,7.711744826,0.953855932,15.85,2.331808805,2.644705296,1,0.310930789,0.687724054,red
192,-10.85567985,7.712164338,0.957001984,23.14,2.902789831,2.887060881,1,0.233579263,0.764924586,red
193,-10.85537591,7.712584767,0.969205618,29.05,3.927495241,3.308085442,1,0.139793545,0.858527184,red
194,-10.85507258,7.713005116,0.894316554,5.23,0.146943361,1.67115128,1,0.929028928,0.070832513,red
195,-10.85476531,7.713425832,0.947978973,30.93,2.437459707,3.191604137,1,0.29490158,0.703721941,red
196,-10.85445611,7.713846715,0.963850319,21.71,4.328478336,2.980695248,1,0.114352189,0.883918881,red
197,-10.8541552,7.714266755,0.956683457,15.55,1.749444127,2.65226984,1,0.4162651,0.582595348,red
198,-10.85385173,7.71468702,0.978233635,22.29,3.472281456,3.022413254,1,0.175601766,0.822788894,red
199,-10.85354797,7.715107287,0.945317805,28.48,2.501909494,3.040197849,1,0.285531878,0.713073373,red
200,-10.85324758,7.715527192,0.988878071,11.96,3.828178167,2.286248446,1,0.146925017,0.851409674,red
201,-10.85294623,7.715947139,0.966703534,21.5,2.490679502,2.932571173,1,0.287142813,0.711465597,red
202,-10.85264048,7.716367417,0.990754783,30.06,4.320720196,3.288502455,1,0.114797503,0.883474469,red
203,-10.85233579,7.716787559,0.989717364,36.65,-9999,-9999,1,-9999,-9999,black
204,-10.85202947,7.717207827,0.973152816,14.21,-9999,-9999,1,-9999,-9999,black
205,-10.85175078,7.71762533,0.859451592,3.88,0.096148275,1.375792146,1,0.952973485,0.046934687,red
206,-10.85143956,7.71804601,0.962085128,20.89,3.165790796,2.922777653,1,0.204744712,0.7937029,red
207,-10.85112644,7.718466839,0.960453749,21.45,3.201266527,2.951477051,1,0.20113802,0.797302544,red
208,-10.85081516,7.718887447,0.933781564,39.15,-9999,-9999,1,-9999,-9999,black
209,-10.85051173,7.719307239,0.977529883,29.92,4.916835308,3.301177502,1,0.085159786,0.913054407,red
210,-10.85021182,7.719726641,0.961016834,32.75,-9999,-9999,1,-9999,-9999,black
211,-10.84990668,7.720146517,0.98527813,22.92,2.764997482,3.064389467,1,0.250273049,0.748263419,red
212,-10.84960823,7.720565686,0.97187376,23.26,4.715783596,3.033529997,1,0.094184138,0.904047668,red
213,-10.84930427,7.720985354,0.971269488,27.52,4.753241539,3.238467216,1,0.092433184,0.905795217,red
214,-10.84900303,7.721404708,0.94861418,24.79,3.103759289,3.099681854,1,0.21120736,0.787252903,red
215,-10.84870296,7.721823903,0.958291173,14.84,3.861752272,2.571077347,1,0.144474447,0.85385555,red
216,-10.8484028,7.722243066,0.940741777,27.29,3.534743071,3.229475021,1,0.170191973,0.828188241,red
217,-10.84809672,7.722662777,0.948414922,15.06,3.159909487,2.672041655,1,0.205348879,0.79309994,red
218,-10.84779031,7.723082487,0.967166841,30.78,-9999,-9999,1,-9999,-9999,black
219,-10.84748227,7.723502328,0.965270996,21.54,4.515565395,2.957699299,1,0.104121312,0.894129932,red
220,-10.84717991,7.723921579,0.977742791,27.04,4.489424229,3.165230036,1,0.105493888,0.892760038,red
221,-10.84687518,7.724341038,0.951684177,30.8,-9999,-9999,1,-9999,-9999,black
222,-10.84657218,7.724760304,0.974718511,28.12,5.123633862,3.18128109,1,0.076778762,0.921419144,red
223,-10.84626898,7.725179571,0.959734142,24.27,4.937704563,3.066470861,1,0.084274091,0.913938463,red
224,-10.84596716,7.725598686,0.941800058,37.54,-9999,-9999,1,-9999,-9999,black
225,-10.84566692,7.72601763,0.969478846,35.15,5.069549084,3.280883789,1,0.078887537,0.919314504,red
226,-10.84536478,7.726436753,0.950212419,15.32,3.045855522,2.65959239,1,0.217423931,0.781048536,red
227,-10.84506166,7.726855966,0.937757313,12.81,3.452142,2.414542437,1,0.177382514,0.821011782,red
228,-10.84476096,7.727274933,0.9644472,31.04,-9999,-9999,1,-9999,-9999,black
229,-10.84446323,7.727693607,0.981032789,19.47,2.464868069,2.977309942,1,0.290880024,0.707735837,red
230,-10.84414996,7.728113818,0.973067164,36.11,2.217489958,3.193493128,1,0.329258084,0.6694327,red
231,-10.84384391,7.728533318,0.94756192,22.13,4.135682106,3.015302658,1,0.125948146,0.872345805,red
232,-10.84354895,7.728951733,0.960982084,22.7,-9999,-9999,1,-9999,-9999,black
233,-10.84324531,7.729371014,0.944269121,15.39,2.328837633,2.62902379,1,0.311394095,0.68726182,red
234,-10.84293777,7.729790695,0.95802778,31.29,4.040411472,3.298203945,1,0.132105216,0.866200745,red
235,-10.84262511,7.730210896,0.979022801,13.86,3.789921522,2.474510193,1,0.149768189,0.848572314,red
236,-10.84232584,7.730629795,0.987455726,30.29,4.276844978,3.257664204,1,0.117348805,0.880928397,red
237,-10.84202547,7.731048825,0.958912492,28.15,3.750152111,3.171485424,1,0.152782023,0.845564365,red
238,-10.84172269,7.731468118,0.981189847,22.31,4.333580017,2.920820475,1,0.114060357,0.884210467,red
239,-10.84141282,7.731888134,0.977784395,25.64,-9999,-9999,1,-9999,-9999,black
240,-10.84111365,7.732307118,0.95491159,17.45,3.742339373,2.637957811,1,0.153381199,0.844966352,red
241,-10.84081238,7.732726333,0.956746817,20.94,4.312698364,2.941777468,1,0.115259834,0.883013368,red
242,-10.84050765,7.733145909,0.967938602,31.21,-9999,-9999,1,-9999,-9999,black
243,-10.84021371,7.733564444,0.988977551,13.72,3.890855312,2.457903624,1,0.142383367,0.855942786,red
244,-10.83991018,7.733983947,0.970918477,12.03,2.8192873,2.294934273,1,0.243557945,0.754965663,red
245,-10.83960753,7.734403382,0.799739063,7.4,0.512904525,1.955849171,1,0.773403943,0.226153776,red
246,-10.83929092,7.734824216,0.941888094,33.13,5.155201435,3.207030773,1,0.07557413,0.922621608,red
247,-10.83899729,7.7352428,0.971460342,21.87,3.450162172,2.952993155,1,0.177558586,0.820836186,red
